what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.importer.rose,2.5.0.v200906151043,"org.eclipse.emf.importer.rose",1292356131357
stopped,bundle,org.eclipse.emf.ant,2.4.0.v200906151043,"org.eclipse.emf.ant",1292356131357
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1292356131357
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1292356131357
stopped,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1292356131357
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.help.ui",1292356131358
stopped,bundle,com.collabnet.ee.tracker.ui,2.0.4,"com.collabnet.ee.tracker.ui",1292356131358
stopped,bundle,com.collabnet.ee.tracker.core,2.0.5,"com.collabnet.ee.tracker.core",1292356131358
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1292356131358
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1292356131358
stopped,bundle,org.eclipse.mylyn.wikitext.core,1.2.1.v20100222-0100-e3x,"org.eclipse.mylyn.wikitext.core",1292356131358
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,"org.eclipse.wst.command.env.ui",1292356131358
stopped,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1292356131358
stopped,bundle,com.collabnet.issuezilla.mylyn.ui,2.0.5,"com.collabnet.issuezilla.mylyn.ui",1292356131358
stopped,bundle,com.collabnet.issuezilla.mylyn.core,2.0.5,"com.collabnet.issuezilla.mylyn.core",1292356131358
stopped,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1292356131358
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1292357085383
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1292357085384
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1292357085384
started,bundle,com.cdesg.core,1.0.0.8392R,"com.cdesg.core",1292357085384
started,bundle,com.cdesg.uihelper,2.1.0.8392R,"com.cdesg.uihelper",1292357085384
started,bundle,com.collabnet.ee.tracker.core,2.0.5,"com.collabnet.ee.tracker.core",1292357085385
started,bundle,com.collabnet.ee.tracker.ui,2.0.4,"com.collabnet.ee.tracker.ui",1292357085385
started,bundle,com.collabnet.issuezilla.mylyn.core,2.0.5,"com.collabnet.issuezilla.mylyn.core",1292357085385
started,bundle,com.collabnet.issuezilla.mylyn.ui,2.0.5,"com.collabnet.issuezilla.mylyn.ui",1292357085385
started,bundle,com.collabnet.subversion,2.0.5,"com.collabnet.subversion",1292357085385
started,bundle,com.collabnet.subversion.merge,2.0.1,"com.collabnet.subversion.merge",1292357085385
started,bundle,com.collabnet.tracker.mylyn.core,1.10.0,"com.collabnet.tracker.mylyn.core",1292357085385
started,bundle,com.collabnet.tracker.mylyn.ui,1.10.1,"com.collabnet.tracker.mylyn.ui",1292357085385
started,bundle,com.google.appengine.eclipse.core,1.3.2.v201003242055,"com.google.appengine.eclipse.core",1292357085385
started,bundle,com.google.gdt.eclipse.core,1.3.2.v201003242055,"com.google.gdt.eclipse.core",1292357085385
started,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1292357085385
started,bundle,com.google.gdt.eclipse.platform.shared,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.shared",1292357085385
started,bundle,com.google.gdt.eclipse.suite,1.3.2.v201003242055,"com.google.gdt.eclipse.suite",1292357085385
started,bundle,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core",1292357085385
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1292357085385
started,bundle,com.teamprise.teamplugin,3.1.0.8392R,"com.teamprise.teamplugin",1292357085385
started,bundle,com.teamprise.ui.explorer,3.1.0.8392R,"com.teamprise.ui.explorer",1292357085385
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1292357085385
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1292357085385
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1292357085385
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1292357085385
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1292357085385
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1292357085385
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1292357085386
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1292357085386
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1292357085386
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1292357085386
